req,origin_station,destination_station,start_driving_time,arriving_time,Rev
267,64,68,89,90,326
267,64,69,89,90,326
267,64,81,89,90,326
267,65,10,89,90,326
267,65,68,89,90,326
267,65,69,89,90,326
267,65,81,89,90,326
274,3,10,92,93,327
274,3,36,92,93,327
274,3,68,92,93,327
274,3,69,92,93,327
274,3,81,92,93,327
274,16,10,92,93,327
274,16,36,92,93,327
274,16,68,92,93,327
274,16,69,92,93,327
274,16,81,92,93,327
274,17,10,92,93,327
274,17,36,92,93,327
274,17,68,92,93,327
274,17,69,92,93,327
274,17,81,92,93,327
274,18,10,92,93,327
274,18,36,92,93,327
274,18,68,92,93,327
274,18,69,92,93,327
274,18,81,92,93,327
274,19,10,92,93,327
274,19,36,92,93,327
274,19,68,92,93,327
274,19,81,92,93,327
274,20,10,92,93,327
274,20,68,92,93,327
274,20,81,92,93,327
274,21,10,92,93,327
274,21,68,92,93,327
274,21,81,92,93,327
274,39,69,92,93,327
274,49,10,92,93,327
274,49,36,92,93,327
274,49,68,92,93,327
274,49,69,92,93,327
274,49,81,92,93,327
274,58,10,92,93,327
274,58,36,92,93,327
274,58,68,92,93,327
274,58,69,92,93,327
274,58,81,92,93,327
274,59,10,92,93,327
274,59,36,92,93,327
274,59,68,92,93,327
274,59,81,92,93,327
280,22,11,92,93,323
291,33,70,96,97,375
291,44,70,96,97,375
291,45,36,96,97,375
291,45,70,96,97,375
304,28,70,99,100,332
326,10,84,102,103,337
326,69,39,102,103,337
326,69,84,102,103,337
326,81,84,102,103,337
328,81,52,103,104,378
328,81,82,103,104,378
342,9,60,105,106,340
342,28,60,105,106,340
342,47,60,105,106,340
342,51,60,105,106,340
342,72,60,105,106,340
345,30,2,106,107,355
345,30,7,106,107,355
345,30,31,106,107,355
345,30,32,106,107,355
345,30,33,106,107,355
345,30,34,106,107,355
345,30,35,106,107,355
345,30,38,106,107,355
345,30,40,106,107,355
345,30,43,106,107,355
345,30,44,106,107,355
345,30,45,106,107,355
345,30,48,106,107,355
345,30,52,106,107,355
345,30,54,106,107,355
345,30,56,106,107,355
345,30,62,106,107,355
345,30,71,106,107,355
345,30,73,106,107,355
345,30,75,106,107,355
345,30,79,106,107,355
345,30,80,106,107,355
345,30,82,106,107,355
345,30,85,106,107,355
345,31,2,106,107,355
345,31,7,106,107,355
345,31,30,106,107,355
345,31,32,106,107,355
345,31,33,106,107,355
345,31,34,106,107,355
345,31,35,106,107,355
345,31,38,106,107,355
345,31,40,106,107,355
345,31,43,106,107,355
345,31,44,106,107,355
345,31,45,106,107,355
345,31,48,106,107,355
345,31,52,106,107,355
345,31,54,106,107,355
345,31,56,106,107,355
345,31,62,106,107,355
345,31,71,106,107,355
345,31,73,106,107,355
345,31,75,106,107,355
345,31,79,106,107,355
345,31,80,106,107,355
345,31,82,106,107,355
345,31,85,106,107,355
345,36,2,106,107,355
345,36,7,106,107,355
345,36,30,106,107,355
345,36,31,106,107,355
345,36,32,106,107,355
345,36,38,106,107,355
345,36,40,106,107,355
345,36,44,106,107,355
345,36,45,106,107,355
345,36,52,106,107,355
345,36,54,106,107,355
345,36,56,106,107,355
345,36,75,106,107,355
345,36,80,106,107,355
345,36,82,106,107,355
345,36,85,106,107,355
345,40,2,106,107,355
345,40,7,106,107,355
345,40,30,106,107,355
345,40,31,106,107,355
345,40,32,106,107,355
345,40,33,106,107,355
345,40,34,106,107,355
345,40,35,106,107,355
345,40,38,106,107,355
345,40,44,106,107,355
345,40,45,106,107,355
345,40,48,106,107,355
345,40,52,106,107,355
345,40,54,106,107,355
345,40,56,106,107,355
345,40,62,106,107,355
345,40,71,106,107,355
345,40,73,106,107,355
345,40,75,106,107,355
345,40,79,106,107,355
345,40,80,106,107,355
345,40,82,106,107,355
345,40,85,106,107,355
345,54,2,106,107,355
345,54,7,106,107,355
345,54,30,106,107,355
345,54,31,106,107,355
345,54,32,106,107,355
345,54,33,106,107,355
345,54,34,106,107,355
345,54,35,106,107,355
345,54,38,106,107,355
345,54,40,106,107,355
345,54,43,106,107,355
345,54,44,106,107,355
345,54,45,106,107,355
345,54,48,106,107,355
345,54,52,106,107,355
345,54,53,106,107,355
345,54,56,106,107,355
345,54,62,106,107,355
345,54,71,106,107,355
345,54,73,106,107,355
345,54,75,106,107,355
345,54,79,106,107,355
345,54,80,106,107,355
345,54,82,106,107,355
345,54,85,106,107,355
345,61,2,106,107,355
345,61,7,106,107,355
345,61,30,106,107,355
345,61,31,106,107,355
345,61,32,106,107,355
345,61,38,106,107,355
345,61,40,106,107,355
345,61,48,106,107,355
345,61,52,106,107,355
345,61,54,106,107,355
345,61,56,106,107,355
345,61,62,106,107,355
345,61,73,106,107,355
345,61,75,106,107,355
345,61,79,106,107,355
345,61,80,106,107,355
345,61,85,106,107,355
345,70,2,106,107,355
345,70,7,106,107,355
345,70,30,106,107,355
345,70,31,106,107,355
345,70,32,106,107,355
345,70,33,106,107,355
345,70,34,106,107,355
345,70,35,106,107,355
345,70,38,106,107,355
345,70,40,106,107,355
345,70,44,106,107,355
345,70,45,106,107,355
345,70,48,106,107,355
345,70,52,106,107,355
345,70,54,106,107,355
345,70,56,106,107,355
345,70,62,106,107,355
345,70,71,106,107,355
345,70,73,106,107,355
345,70,75,106,107,355
345,70,79,106,107,355
345,70,80,106,107,355
345,70,82,106,107,355
345,70,85,106,107,355
345,76,2,106,107,355
345,76,7,106,107,355
345,76,30,106,107,355
345,76,31,106,107,355
345,76,32,106,107,355
345,76,33,106,107,355
345,76,34,106,107,355
345,76,35,106,107,355
345,76,38,106,107,355
345,76,40,106,107,355
345,76,44,106,107,355
345,76,45,106,107,355
345,76,48,106,107,355
345,76,52,106,107,355
345,76,54,106,107,355
345,76,56,106,107,355
345,76,62,106,107,355
345,76,71,106,107,355
345,76,73,106,107,355
345,76,75,106,107,355
345,76,79,106,107,355
345,76,80,106,107,355
345,76,82,106,107,355
345,76,85,106,107,355
373,7,83,113,114,329
373,11,83,113,114,329
373,30,83,113,114,329
373,31,83,113,114,329
373,36,1,113,114,329
373,36,3,113,114,329
373,36,12,113,114,329
373,36,14,113,114,329
373,36,15,113,114,329
373,36,16,113,114,329
373,36,17,113,114,329
373,36,18,113,114,329
373,36,49,113,114,329
373,36,57,113,114,329
373,36,58,113,114,329
373,36,63,113,114,329
373,36,64,113,114,329
373,36,83,113,114,329
373,38,83,113,114,329
373,40,63,113,114,329
373,40,83,113,114,329
373,46,83,113,114,329
373,52,83,113,114,329
373,54,83,113,114,329
373,70,63,113,114,329
373,70,83,113,114,329
373,80,83,113,114,329
373,82,83,113,114,329
376,19,2,113,114,403
376,19,10,113,114,403
376,19,32,113,114,403
376,19,36,113,114,403
376,19,38,113,114,403
376,19,44,113,114,403
376,19,45,113,114,403
376,19,52,113,114,403
376,19,68,113,114,403
376,19,75,113,114,403
376,19,80,113,114,403
376,19,81,113,114,403
376,19,82,113,114,403
386,28,70,118,119,325
392,28,70,119,120,343
394,2,30,120,121,332
394,2,31,120,121,332
394,2,36,120,121,332
394,2,40,120,121,332
394,2,54,120,121,332
394,2,61,120,121,332
394,2,70,120,121,332
394,2,76,120,121,332
394,32,30,120,121,332
394,32,31,120,121,332
394,32,36,120,121,332
394,32,40,120,121,332
394,32,54,120,121,332
394,32,61,120,121,332
394,32,70,120,121,332
394,32,76,120,121,332
394,33,30,120,121,332
394,33,31,120,121,332
394,33,40,120,121,332
394,33,54,120,121,332
394,33,70,120,121,332
394,34,30,120,121,332
394,34,31,120,121,332
394,34,40,120,121,332
394,34,54,120,121,332
394,34,70,120,121,332
394,35,30,120,121,332
394,35,31,120,121,332
394,35,40,120,121,332
394,35,54,120,121,332
394,35,70,120,121,332
394,38,30,120,121,332
394,38,31,120,121,332
394,38,36,120,121,332
394,38,40,120,121,332
394,38,54,120,121,332
394,38,61,120,121,332
394,38,70,120,121,332
394,38,76,120,121,332
394,43,30,120,121,332
394,43,54,120,121,332
394,44,30,120,121,332
394,44,31,120,121,332
394,44,40,120,121,332
394,44,54,120,121,332
394,44,70,120,121,332
394,45,30,120,121,332
394,45,31,120,121,332
394,45,36,120,121,332
394,45,40,120,121,332
394,45,54,120,121,332
394,45,70,120,121,332
394,45,76,120,121,332
394,52,30,120,121,332
394,52,31,120,121,332
394,52,36,120,121,332
394,52,40,120,121,332
394,52,54,120,121,332
394,52,61,120,121,332
394,52,70,120,121,332
394,52,76,120,121,332
394,53,54,120,121,332
394,62,30,120,121,332
394,62,31,120,121,332
394,62,36,120,121,332
394,62,40,120,121,332
394,62,54,120,121,332
394,62,61,120,121,332
394,62,70,120,121,332
394,62,76,120,121,332
394,71,30,120,121,332
394,71,31,120,121,332
394,71,40,120,121,332
394,71,54,120,121,332
394,71,70,120,121,332
394,73,30,120,121,332
394,73,31,120,121,332
394,73,40,120,121,332
394,73,54,120,121,332
394,73,61,120,121,332
394,73,70,120,121,332
394,73,76,120,121,332
394,75,30,120,121,332
394,75,31,120,121,332
394,75,36,120,121,332
394,75,40,120,121,332
394,75,54,120,121,332
394,75,61,120,121,332
394,75,70,120,121,332
394,75,76,120,121,332
394,79,30,120,121,332
394,79,31,120,121,332
394,79,40,120,121,332
394,79,54,120,121,332
394,79,61,120,121,332
394,79,70,120,121,332
394,79,76,120,121,332
394,80,30,120,121,332
394,80,31,120,121,332
394,80,36,120,121,332
394,80,40,120,121,332
394,80,54,120,121,332
394,80,61,120,121,332
394,80,70,120,121,332
394,80,76,120,121,332
394,82,30,120,121,332
394,82,31,120,121,332
394,82,36,120,121,332
394,82,40,120,121,332
394,82,54,120,121,332
394,82,70,120,121,332
394,82,76,120,121,332
394,85,30,120,121,332
394,85,31,120,121,332
394,85,36,120,121,332
394,85,40,120,121,332
394,85,54,120,121,332
394,85,61,120,121,332
394,85,70,120,121,332
394,85,76,120,121,332
439,11,2,131,132,330
439,11,32,131,132,330
439,11,33,131,132,330
439,11,34,131,132,330
439,11,35,131,132,330
439,11,36,131,132,330
439,11,40,131,132,330
439,11,43,131,132,330
439,11,44,131,132,330
439,11,45,131,132,330
439,11,52,131,132,330
439,11,55,131,132,330
439,11,61,131,132,330
439,11,62,131,132,330
439,11,68,131,132,330
439,11,69,131,132,330
439,11,71,131,132,330
439,11,79,131,132,330
439,11,81,131,132,330
439,11,82,131,132,330
439,36,2,132,133,330
439,36,32,132,133,330
439,36,44,132,133,330
439,36,45,132,133,330
439,36,52,132,133,330
439,36,82,132,133,330
439,81,52,132,133,330
439,81,82,132,133,330
445,11,61,133,134,331
461,36,2,140,141,326
461,36,32,140,141,326
461,36,38,140,141,326
461,36,44,140,141,326
461,36,45,140,141,326
461,36,52,140,141,326
461,36,54,140,141,326
461,36,75,140,141,326
461,36,80,140,141,326
461,36,82,140,141,326
461,36,85,140,141,326
461,55,32,140,141,326
461,55,54,140,141,326
461,55,62,140,141,326
461,55,73,140,141,326
